uid,cost,availability,reputation,speed,coverd_regions,facility,number_places,rating
146,2.4918347897152175,0.7933709428991731,0.4143679758200036,99.42297505815527,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,1
147,2.836320584886894,0.48186390236142945,0.45708095334274523,109.38567363147276,"[0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 17, 18, 19, 22, 23, 24, 26, 27, 28]",bus,6,3
148,2.266954988906643,0.6375139682478528,0.6655971806418413,95.01376534997218,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,2,1
149,2.5685356512726276,0.601371196361782,0.7265662739478062,105.69961293409202,"[0, 1, 2, 3, 5, 7, 8, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,1
150,2.1176675248780774,0.437798512821152,0.772481458491941,98.90251615673625,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,3
151,2.862177005639758,0.36495628664816254,0.6414047705867332,101.38181220867429,"[3, 4, 6, 7, 8, 10, 29, 30]",car,6,4
152,2.7478261954040626,0.8361528848621242,0.38644864872248763,105.1093101033204,"[20, 6, 13, 14, 15]",bus,2,4
153,3.619043686102538,0.5096696654304597,0.7394840503044781,95.54791532097181,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,3
154,3.281904504003061,0.39056873982546836,0.4445203317081552,96.2809749503472,"[16, 20, 21, 7, 8, 11, 13]",car,4,5
155,1.9509590602360525,0.4933341758987101,0.6041503277823116,90.91122048180473,"[1, 2, 4, 5, 7, 17, 19, 20, 22, 25, 29, 30]",car,4,1
156,3.853651585491388,0.46147492924053424,0.7660270403036205,109.54165022799549,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30]",bus,6,5
157,3.359306424845011,0.23501728739170985,0.6834058739162079,96.78986560362671,"[2, 4, 5, 6, 7, 8, 12, 13, 15, 16, 17, 18, 20, 22, 24, 25, 26, 28, 29, 30]",bus,2,4
158,4.215780486250885,0.6275145962810065,0.47615115074343706,100.09077275317327,"[1, 2, 3, 5, 6, 8, 13, 14, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 29]",bus,6,3
159,3.8782437749938072,0.6040276249763163,0.6801070992779468,96.34711736756846,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 28, 29, 30]",bus,2,1
160,2.7891301881838273,0.554434611028834,0.5422235307323522,102.67668029719562,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,2
161,2.144104779419384,0.19737813907972224,0.427431773625529,95.42000131928252,"[0, 3, 5, 6, 10, 11, 12, 13, 15, 21, 23, 24, 26, 27, 28, 29]",car,2,4
162,2.872811148385951,0.5306382115908542,0.6173773672950831,103.201228682591,"[11, 4]",car,4,2
163,3.1990650964044707,0.5384243395615127,0.7260332916111817,107.98536351374906,"[4, 7, 8, 9, 13, 15, 16, 18, 21, 22, 23, 29]",car,4,4
164,2.9377920205671972,0.33100294662982,0.5966111836005694,107.49929586775366,"[0, 3, 5, 7, 8, 9, 11, 12, 13, 17, 24, 25, 27, 30]",car,6,1
165,3.120105748359094,0.7578887679883131,0.38041065912900174,93.33496131375342,"[0, 1, 2, 5, 6, 7, 10, 11, 12, 13, 16, 17, 18, 20, 21, 23, 24, 25, 29]",car,4,2
166,2.1936661418257355,0.4619777075790145,0.49809557242531205,112.88256638562675,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,5
167,3.3489444276707228,0.37381821449993724,0.7602564497666688,99.23047955921207,"[24, 26, 23]",bus,4,5
168,3.667991139459634,0.6667707383280186,0.7172608082012539,96.6930599313814,"[0, 4, 5, 8, 9, 12, 13, 14, 15, 16, 20, 21, 22, 24, 26, 29]",bus,2,5
169,4.181288491766863,0.6364801346296383,0.791163918263037,104.1608939900855,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,4,2
170,3.1810268346888892,0.49742180594970725,0.3794264207995425,91.6873906251258,"[0, 1, 3, 4, 5, 6, 7, 9, 12, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]",bus,6,3
171,3.157959701855329,0.38291923716428744,0.8285171206713299,99.27946353999198,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30]",bus,6,1
172,3.658818475037672,0.568795460576461,0.7000076526361345,103.71807650766965,"[0, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 29, 30]",bus,2,1
173,2.761507837802997,0.5752546514845696,0.35480790284040575,107.89672888660212,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30]",bus,2,5
174,2.951993941221166,0.7561326989753042,0.6825714143765921,97.6595518927605,"[24, 18]",bus,4,3
175,2.8223010059642015,0.6630438300992947,0.6806933055635596,97.92222910103321,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",bus,4,3
176,1.0345268607590332,0.6840073697881899,0.5101137506566313,95.13560417857353,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,4
177,1.9237670714030157,0.3115126885705503,0.3927297410088357,90.55398556777327,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,2,3
178,2.7488558116152753,0.6303949967972973,0.7468604202285734,102.59825268218772,"[27, 30, 22]",bus,4,1
179,2.0744700985638405,0.5923632639046498,0.7544607743142465,92.04414955615408,"[1, 2, 3, 6, 9, 10, 12, 14, 16, 17, 18, 21, 23, 26, 27, 28, 29, 30]",car,6,2
180,2.902774489010849,0.5907220270145332,0.32864580583960884,110.77612129452169,"[3, 21, 6, 8, 11, 12]",bus,4,3
181,2.24088201301415,0.6434354556980667,0.3122265558838252,96.37625295103317,"[17, 19, 24, 26, 15]",bus,2,2
182,2.924803943962001,0.7141748583776442,0.571235662715665,105.79071275040336,"[2, 5, 12, 15, 16, 24, 25, 30]",car,4,3
183,2.57477169701228,0.6206735867395252,0.5706636282787565,93.3983750210554,[7],bus,2,5
184,2.559765272464547,0.4032622265654716,0.36297754274425953,95.93528571341656,"[0, 6, 7, 8, 13, 24, 25, 26]",bus,2,5
185,2.685548243689267,0.7764789332432245,0.38284878792530574,95.13872078207815,"[0, 4, 6, 7, 9, 10, 12, 16, 18, 19, 20, 21, 22, 23, 25, 27, 29, 30]",bus,6,1
186,2.497947027352202,0.4078695717973509,0.44903616629865495,102.10104437183671,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,3
187,3.0294162388709003,0.5221863281417279,0.5619084032491621,95.6120254825099,"[1, 4, 5, 8, 10, 11, 12, 14, 15, 17, 19, 21, 23, 25, 27, 30]",bus,6,1
188,3.2435951429632195,0.5452764829061757,0.15925692579613843,107.96613019856636,"[2, 4, 7, 11, 14, 20, 22, 26, 28, 29]",bus,2,2
189,3.413780123044689,0.6450142387033563,0.6043388013226036,105.13751997140419,"[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,2
190,2.885083472148248,0.48099445362305054,0.5650630359480285,86.96386171004603,"[0, 5, 8, 10, 13, 19, 21, 23, 25, 27, 29]",bus,6,1
191,2.591538980433395,0.6604673398573857,0.45838495981879834,91.89606665387961,"[3, 6, 8, 9, 10, 13, 14, 16, 17, 20, 21, 22, 23, 26, 29, 30]",bus,6,4
192,1.711750939696363,0.33440819450923,0.5361632935865954,98.66488244312988,"[9, 29]",car,2,3
193,2.7111204830784335,0.6416547791061691,0.25092063645790214,93.11023546573573,"[0, 1, 2, 5, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30]",bus,2,1
194,3.6639204563978716,0.5338278718727687,0.5729704559383301,92.26332244880393,"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,5
195,2.3699165226199126,0.5262466283538975,0.1726679257217904,100.07822093805247,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,1
196,3.6317018775975436,0.6123540022352392,0.5040911193236084,96.4725852634655,"[2, 3, 4, 22]",car,4,5
197,1.5717964516863998,0.5058789416787788,0.42145873645690635,103.05684657464411,"[1, 2, 4, 7, 10, 11, 14, 16, 17, 20, 21, 24, 28]",bus,6,3
198,1.6030198889355858,0.478785582757187,0.44327005014802334,101.94346509909009,[12],car,4,3
199,2.812628337594986,0.21450272148783162,0.3716397984447376,101.28117579131293,"[0, 1, 3, 4, 6, 11, 15, 16, 19, 22, 23, 26, 30]",bus,6,2
200,2.3864949502346704,0.39227789064004676,0.6156733362190067,96.91732234590481,"[1, 5, 7, 10, 13, 20, 21, 26, 28, 29, 30]",bus,4,1
201,3.967865401831448,0.5449502978146769,0.7696850168561139,106.3585123802589,"[24, 13, 6, 15]",bus,4,1
202,2.9559234867683006,0.3748499744528285,0.5081684995032123,92.57418926427758,"[0, 2, 4, 5, 6, 7, 9, 13, 15, 19, 20, 22, 23, 24, 25, 26, 28, 30]",car,6,2
203,2.8544625743256136,0.4516921224812404,0.48307880633123595,115.75118906592189,"[17, 20, 8, 9, 26, 13, 30]",car,2,4
204,2.9821349125850896,0.5814454057539536,0.38748062372094794,109.70037610629981,"[17, 6, 24, 25, 13, 30]",car,6,5
205,2.9457796474645037,0.732402441014602,0.4264651205737092,103.09678808516635,"[0, 1, 2, 6, 7, 8, 9, 10, 11, 13, 15, 16, 18, 19, 20, 21, 28, 30]",car,6,3
206,2.6356928501462975,0.6451833401141491,0.5729978207002854,107.82033849387487,"[29, 4, 5, 21, 25, 13, 30]",bus,2,1
207,2.7695167701939747,0.6855461143219757,0.305861453051687,113.6141207283468,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]",car,4,5
208,3.3318480004894315,0.5958112990846482,0.6792566067835937,95.76707850175075,"[0, 2, 9, 15, 16, 19, 22, 26, 27, 30]",bus,6,2
209,2.904304517353169,0.5066978554525545,0.6358515248778107,89.92032473378724,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,4
210,3.411308393534179,0.319122503372041,0.6774949111306179,101.17497182233976,"[0, 2, 3, 5, 7, 8, 9, 11, 15, 18, 20, 27, 28]",bus,6,2
211,3.5975182486537283,0.4388011731364259,0.5344210810762546,96.37678629287537,"[1, 2, 4, 5, 8, 9, 13, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30]",car,6,3
212,2.9072936294046126,0.4514175906383673,0.5827345782076125,112.85955800844852,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]",bus,2,5
213,2.534225404155629,0.5125966186152136,0.47365153539997196,98.78204068940848,"[0, 7, 8, 9, 10, 12, 13, 15, 17, 18, 19, 20, 21, 24, 26, 28, 29, 30]",car,2,5
214,2.1022283056368476,0.7409404387912057,0.43417021517867194,82.44208593336369,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,1
215,3.8869882489205114,0.2644507103028297,0.5309276597394833,103.37858080713318,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",bus,2,3
216,3.236718963373638,0.5652994703290236,0.752094882261978,114.65521568451801,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 12, 14, 16, 17, 20, 21, 22, 23, 24, 25, 28, 29, 30]",bus,4,5
217,3.6420924672589523,0.38051037558600026,0.5079226960668565,109.7839114782471,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30]",bus,4,2
218,2.9140464795911,0.4641540487327257,0.6848271056429334,110.83379461819437,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",car,2,3
219,4.542524015810299,0.6559027470516159,0.3640439407799336,97.16689053997086,"[0, 1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30]",car,4,1
220,2.5365314783175137,0.5722011547749023,0.6656927483901506,100.02633355236597,"[5, 9, 13, 14, 17, 19, 21, 28]",car,6,1
221,2.9217891653673633,0.7258761948533903,0.3134184399114363,105.36575590863576,"[3, 5, 6, 10, 11, 16, 20, 25, 27, 28, 29, 30]",bus,6,1
222,3.7723680603361203,0.39599860277870125,0.6001826543051029,97.57353227013103,"[4, 6, 8, 9, 10, 13, 15, 24]",bus,6,3
223,2.3541077538371367,0.6732358471049145,0.6679400083598943,91.92761090104759,"[8, 9, 10, 12, 15, 16, 19, 26, 30]",car,4,2
224,3.213333195586024,0.6835103868521712,0.16101712737610518,94.4890257484333,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",car,6,1
225,2.8529341441123,0.6127757003894255,0.6774462886787033,91.82338490040259,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30]",bus,4,5
226,3.037011112933532,0.5745750973264553,0.40555635344901964,97.87060406222224,"[1, 4, 5, 6, 7, 8, 11, 12, 13, 16, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30]",car,2,2
227,2.8808515690026812,0.4757084019098601,0.777054781507156,99.21208489185517,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,4
228,3.862842480738923,0.687266181727121,0.8051826758751577,105.42442348384752,"[19, 27, 5]",car,6,1
229,3.784800439322285,0.6339825472783095,0.49396537753473496,93.24384154101114,"[1, 3, 6, 9, 11, 13, 15, 16, 24, 25, 28, 30]",car,6,4
230,3.0633432340353375,0.7492930705967802,0.5200225586197899,95.61246763165414,"[0, 1, 2, 3, 9, 10, 12, 13, 15, 20, 21, 25, 26, 27, 29]",bus,6,1
231,2.47820614818209,0.84128172953801,0.5071807150766535,102.74707009557629,"[1, 2, 4, 5, 6, 7, 8, 10, 14, 15, 16, 17, 18, 19, 22, 23, 25, 29, 30]",bus,6,2
232,1.921875297288733,0.5371678072164976,0.98,97.68918134983184,"[0, 1, 4, 7, 11, 16, 20, 25, 26]",bus,2,3
233,4.098143207608668,0.6220419412868025,0.4378138331227074,103.62083795471494,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,2,5
234,2.6327654899612156,0.42237511122452914,0.4741444446871924,100.83589532626829,"[0, 1, 2, 5, 6, 9, 10, 12, 13, 18, 20, 22, 26, 29]",bus,4,1
235,3.0832010048208347,0.6486977973670549,0.4442554887807522,103.24576030342743,"[0, 1, 3, 4, 6, 8, 10, 13, 18, 19, 20, 21, 22, 23, 25, 28, 30]",car,6,1
236,2.7026745543201645,0.44710556355548026,0.5871642941219588,97.16385375678043,"[3, 5, 8, 9, 12, 16, 19, 20, 25, 27]",car,4,3
237,3.2348827715322783,0.5507243849690526,0.29783962689957055,107.13263977957813,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30]",bus,4,4
238,3.6425217456212677,0.5417919217683458,0.5964355209930612,95.63481234838189,"[2, 27]",car,2,3
239,2.842365488045161,0.3046046873567676,0.5775913510615795,104.27330213076965,[16],bus,4,5
240,3.2522409810303023,0.39144064539527,0.6391361355531311,110.56675727684308,"[2, 3, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 21, 24, 25, 28, 30]",bus,4,5
241,2.0723920534654203,0.6134586190598084,0.5536352526422476,99.6242489005351,"[0, 8, 28, 13, 15]",car,6,2
242,2.2272094976671974,0.4004602886409921,0.6557035826650912,104.52097337336312,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 30]",car,4,5
243,2.4435450909789598,0.3040908322212632,0.584610130832892,108.61392209013438,"[2, 3, 4, 6, 8, 10, 14, 16, 17, 20, 21, 25, 26, 27, 29, 30]",car,4,2
244,3.4022340715757053,0.475661520067986,0.7260394473689665,104.48052029660927,"[16, 3, 19, 21, 22]",car,2,3
245,3.2007938342910873,0.42026576197529125,0.5588183400437723,102.05536808360522,"[16, 4, 8, 25, 26, 15]",car,2,1
246,2.9501677012598235,0.3111098927409025,0.6538083345163266,94.88840990901929,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,4,4
247,2.812436783969942,0.47049294542997905,0.7015382185501705,93.83285166850062,"[8, 9, 26, 4]",bus,2,4
248,2.060018249260895,0.4177205415926383,0.49763470245928226,95.33462725923015,"[0, 2, 3, 4, 6, 10, 11, 12, 13, 15, 22, 25, 27, 28]",car,2,1
249,3.7703717751469674,0.438163678872769,0.29149727226892286,104.1999184060962,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,4,1
250,3.3694530913456178,0.6974565047139245,0.4120335306257568,96.14496185967984,"[0, 4, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 28, 29]",bus,4,1
251,2.801154411895504,0.6455556744850839,0.5134864986180019,104.46652073067713,"[2, 3, 4, 5, 8, 11, 16, 17, 18, 30]",bus,6,1
252,3.2487672418831197,0.5180604339975529,0.7083857651106387,99.20494089663241,"[17, 26, 23, 25, 10, 28, 15]",bus,2,2
253,2.487643962178127,0.6976831884692065,0.5098020874410315,95.5917406179997,"[18, 7, 12, 13, 30]",car,2,3
254,4.135062848359555,0.750853426160816,0.24349959002546256,93.48686565082293,"[1, 2, 4, 5, 9, 10, 11, 12, 15, 17, 23, 24, 25, 28]",bus,4,1
255,3.461896722686474,0.3449546933359987,0.2775083290516577,94.15851002568498,"[9, 15]",car,2,1
256,2.589553438581122,0.48855493439969,0.6404434429174154,106.77400701371518,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17, 21, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,3
257,2.853771247113916,0.5788649271351153,0.6779259554378647,98.51460555139082,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30]",car,6,1
258,3.8479311234543534,0.6026590284181141,0.5066305702035936,100.91406582627418,"[0, 3, 4, 6, 7, 8, 10, 12, 13, 14, 16, 17, 21, 23, 24, 25, 26, 28, 30]",car,2,2
259,2.584834079687638,0.3504622057622291,0.4542111202400144,104.40280843104753,"[2, 4, 6, 7, 9, 10, 12, 14, 15, 16, 18, 19, 23, 24, 26, 29, 30]",car,2,2
260,2.477633960875896,0.4193034110431374,0.6420970213332279,99.026425585676,"[1, 8, 9, 11, 17, 18, 21, 23, 30]",car,4,3
261,3.1357749759972875,0.5604538786037155,0.5020181004562613,99.8721067808893,"[0, 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,1
262,2.9416892801635868,0.43852217628664214,0.45661152172618946,97.24512408242106,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 27, 28, 30]",bus,4,1
263,3.9096156474963424,0.4087080871190152,0.5778850906051408,90.73598141156123,"[1, 3, 4, 8, 9, 14, 18, 20, 23, 25, 26, 29, 30]",car,6,1
264,2.4841416750326077,0.5754784569517063,0.5882871263033627,113.03853165750054,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,2
265,3.2240581999613114,0.5629121904095604,0.42335851876477965,114.72673579698848,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,4,5
266,2.478341773914074,0.4789631581503664,0.5927640437870184,110.85803076187536,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 30]",car,6,4
267,2.9916110832734315,0.49694572749644395,0.5842730633773588,95.48305867113592,"[5, 9, 10, 13, 14, 15, 16, 22, 24, 26, 27, 29]",bus,2,4
268,3.375018997751203,0.46360275437649684,0.49228407687279274,102.50790751245414,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]",bus,2,5
269,3.998804704171876,0.5452297005972172,0.5275429932675313,94.78917991949346,"[0, 1, 3, 5, 6, 10, 11, 12, 13, 14, 17, 20, 21, 22, 27, 28, 29]",car,4,5
270,2.1382090684493704,0.3684706955400935,0.6768133477503395,104.10752821342079,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]",bus,6,5
271,2.8192042531748016,0.5738754031133008,0.5408788441399547,99.98110197199426,"[0, 2, 3, 5, 7, 8, 9, 12, 13, 14, 17, 18, 20, 21, 23, 24, 26, 28, 29, 30]",bus,6,3
272,2.0132187468179197,0.23067162105177846,0.40719667394546427,99.10024636823172,"[16, 3, 19, 23, 24, 9]",car,4,3
273,1.0,0.43649644564547496,0.47060415508080444,108.51295863079383,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30]",car,4,2
274,4.48022565776424,0.4795443521157624,0.5807112536534813,103.50595429877782,"[1, 2, 4, 6, 7, 13, 16, 18, 23, 24, 25, 28]",car,6,4
275,2.537558247415874,0.21709296864561067,0.6235263653638329,110.57321747688216,"[1, 3, 4, 6, 7, 8, 9, 10, 12, 13, 15, 17, 18, 20, 22, 25, 26]",car,2,5
276,3.2041161718158766,0.5515667187807904,0.6517814381289115,92.44099505171243,"[10, 25, 2, 27]",car,4,3
277,3.8455070007778067,0.32657613243975625,0.6674981816069209,101.11373477246866,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,4
278,2.8452458822368865,0.5224495871439666,0.6784105306435818,105.10212489538692,"[0, 3, 4, 9, 10, 12, 15, 17, 18, 23, 24, 25, 26, 28, 29, 30]",car,2,1
279,2.7834659774779515,0.4379675151134404,0.7742649052063384,101.55037616514846,"[0, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 18, 19, 20, 21, 23, 24, 25, 28, 30]",bus,6,3
280,3.0197494518153567,0.6399444962734424,0.453962163659584,88.53812791749137,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 16, 18, 20, 23, 25, 26, 27, 30]",car,4,3
281,2.7374874792055475,0.3112947081235923,0.4611409369122458,97.38173313758266,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,4
282,2.2131003975896273,0.6436191024767082,0.49167140316484964,99.34974091770965,"[0, 1, 4, 7, 8, 9, 10, 11, 12, 14, 15, 17, 21, 22, 23, 24, 27, 28]",car,6,4
283,3.2716611565911373,0.6635736010270018,0.5194022115195678,99.41001352613547,"[0, 4, 5, 6, 7, 9, 10, 13, 15, 16, 17, 18, 19, 20, 23, 24, 27]",bus,2,5
284,2.294635993387002,0.8022588544509485,0.6074054931120259,103.61350298448431,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29, 30]",bus,6,5
285,2.484154834127949,0.5286462105317278,0.5434795553184972,107.24031639494132,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 30]",car,6,2
286,2.3563470984414545,0.6075092646983463,0.516599108373717,103.05648615433063,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,2,2
287,2.9755666805601533,0.6186938961991824,0.5536971321890954,92.26116606774607,"[4, 8, 9, 10, 13, 14, 16, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30]",bus,2,1
288,2.0589878912468262,0.650482845763797,0.10707878745147559,89.83993448907263,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 20, 21, 22, 23, 26, 27, 28, 29, 30]",car,6,2
